"brewery_id","beer_name","beer_id","abv","ibu","style","ounces"
47,"Global Warmer",1608,0.07,70,"American Strong Ale",12
47,"Autumnation (2013)",1591,0.067,74,"American IPA",16
47,"The Crisp",1388,0.054,42,"German Pilsener",16
47,"Sweet Action",1387,0.052,34,"Cream Ale",16
47,"Righteous Ale",1386,0.063,57,"Rye Beer",16
47,"Bengali Tiger",1385,0.064,62,"American IPA",16
47,"3Beans",1020,0.099,85,"Baltic Porter",12
47,"Brownstone",778,0.059,47,"American Brown Ale",16
47,"Apollo",630,0.052,11,"American Pale Wheat Ale",16
47,"Harbinger",629,0.049,35,"Saison / Farmhouse Ale",16
47,"Resin",628,0.091,103,"American Double / Imperial IPA",12
47,"Diesel",525,0.063,69,"American Stout",16
47,"Autumnation (2011-12) (2011)",512,0.06,48,"Pumpkin Ale",16
47,"The Crisp (2011)",425,0.054,42,"German Pilsener",16
47,"Sweet Action (2011)",424,0.052,34,"Cream Ale",16
47,"Righteous Ale (2011)",423,0.063,57,"Rye Beer",16
47,"Bengali Tiger (2011)",422,0.064,62,"American IPA",16
48,"Raspberry Berliner Weisse",2573,0.055,NA,"Berliner Weissbier",12
48,"Hop Session",2572,0.05,NA,"American IPA",12
48,"Blueberry Berliner Weisse",2571,0.055,NA,"Berliner Weissbier",12
48,"Berliner Weisse",2570,0.055,NA,"Berliner Weissbier",12
49,"Easy Jack",2569,0.045,47,"American IPA",12
49,"Union Jack",2463,0.075,75,"American IPA",12
49,"Pivo Pils",2462,0.053,NA,"German Pilsener",12
49,"805 Blonde Ale",1957,0.047,NA,"American Blonde Ale",12
49,"805",1733,0.047,20,"American Blonde Ale",12
50,"Take Two Pils",2568,0.055,35,"German Pilsener",12
50,"Waterkeeper",2551,0.057,NA,"Hefeweizen",12
50,"SweetWater IPA",1710,0.064,NA,"American IPA",12
50,"420 Extra Pale Ale",1709,0.054,NA,"American Pale Ale (APA)",12
51,"Flying Mouse 8",2567,0.04,NA,"American Porter",12
51,"Flying Mouse 4",2566,0.07,70,"American IPA",12
52,"Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale",2565,0.128,NA,"Quadrupel (Quad)",19.2
52,"Lee Hill Series Vol. 4 - Manhattan Style Rye Ale",2564,0.104,NA,"Rye Beer",19.2
52,"Lee Hill Series Vol. 2 - Wild Saison",2563,0.068,24,"American Wild Ale",19.2
52,"Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout",2562,0.099,51,"American Double / Imperial Stout",19.2
52,"Lee Hill Series Vol. 1 - Barrel Aged Brown Ale",2561,0.076,NA,"American Brown Ale",19.2
52,"Blood Orange Saison",2560,0.06,NA,"Saison / Farmhouse Ale",12
52,"Thai Style White IPA",1932,0.065,33,"American White IPA",12
52,"Ferus Fluxus Wild Belgian Pale Ale",1853,0.075,30,"American Wild Ale",19.2
52,"Upslope Imperial India Pale Ale",1315,0.099,90,"American Double / Imperial IPA",19.2
52,"Upslope Christmas Ale",907,0.082,NA,"Winter Warmer",16
52,"Upslope Pumpkin Ale",906,0.077,NA,"Pumpkin Ale",16
52,"Upslope Belgian Style Pale Ale",683,0.075,30,"Belgian Pale Ale",12
52,"Upslope Foreign Style Stout",614,0.069,NA,"Foreign / Export Stout",12
52,"Top Rope Mexican-style Craft Lager",466,0.048,15,"Vienna Lager",12
52,"Upslope Craft Lager",444,0.048,22,"Vienna Lager",12
52,"Upslope Brown Ale",345,0.067,NA,"English Brown Ale",12
52,"Upslope Pale Ale",80,0.058,NA,"American Pale Ale (APA)",12
52,"Upslope India Pale Ale",79,0.072,NA,"American IPA",12
53,"Blood of the Unicorn",2559,0.065,NA,"American Amber / Red Ale",16
54,"Moar",2558,0.044,44,"English India Pale Ale (IPA)",12
54,"Uber Lupin Schwarz IPA",2557,0.083,NA,"American Double / Imperial IPA",16
54,"Nordic Blonde",2556,0.057,27,"American Blonde Ale",12
55,"Moped Traveler",2554,0.055,NA,"American Pale Ale (APA)",16
56,"Mazzie",2553,0.054,45,"American Pale Ale (APA)",12
57,"Painted Turtle",2552,0.045,NA,"American Pale Ale (APA)",12
58,"Weissenheimer",2550,0.052,16,"Hefeweizen",12
58,"Abbey's Single (2015- )",2505,0.049,22,"Abbey Single Ale",12
58,"Vertex IPA",2025,0.063,76,"American IPA",12
58,"Here Gose Nothin'",2021,0.05,12,"Gose",12
58,"Strawberry Blonde",2015,0.05,NA,"Fruit / Vegetable Beer",12
58,"Hoperation Overload",1888,0.096,85,"American Double / Imperial IPA",12
58,"Abbey's Single Ale (Current)",1887,0.049,22,"Abbey Single Ale",12
